kW,V,I,t1
2.4721,419.0,5.9,31.0
2.34696,419.1,5.6,31.0
1.76148,419.4,4.2,31.0
0.9664599999999999,420.2,2.3,31.0
1.218,420.0,2.9,31.0
1.34368,419.9,3.2,31.0
1.51092,419.7,3.6,31.0
1.6364400000000001,419.6,3.9,31.0
1.5944800000000001,419.6,3.8,31.0
1.5944800000000001,419.6,3.8,31.0
1.8042799999999999,419.6,4.3,31.0
1.7619,419.5,4.2,31.0
1.76148,419.4,4.2,31.0
1.80385,419.5,4.3,31.0
1.80385,419.5,4.3,31.0
1.80385,419.5,4.3,31.0
1.9296999999999997,419.5,4.6,31.0
1.92878,419.3,4.6,31.0
1.92878,419.3,4.6,31.0
1.97071,419.3,4.7,31.0
1.9711800000000002,419.4,4.7,31.0
1.97071,419.3,4.7,31.0
2.01312,419.4,4.8,31.0
1.92878,419.3,4.6,31.0
1.4263,419.5,3.4,31.0
0.9659999999999999,420.0,2.3,31.0
0.84,420.0,2.0,31.0
0.9242200000000002,420.1,2.2,31.0
1.008,420.0,2.4,31.0
0.9659999999999999,420.0,2.3,31.0
1.092,420.0,2.6,31.0
0.9659999999999999,420.0,2.3,31.0
0.4620000000000001,420.0,1.1,31.0
0.25236000000000003,420.6,0.6,31.0
0.58856,420.4,1.4,31.0
0.75636,420.2,1.8,31.0
0.92444,420.2,2.2,31.0
1.26,420.0,3.0,31.0
1.4266400000000001,419.6,3.4,31.0
1.51092,419.7,3.6,31.0
1.38501,419.7,3.3,31.0
1.42698,419.7,3.4,31.0
1.80385,419.5,4.3,31.0
2.34752,419.2,5.6,31.0
2.3045,419.0,5.5,31.0
2.2631400000000004,419.1,5.4,31.0
2.2217599999999997,419.2,5.3,31.0
